	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
9-16	73	2	PURPLE_1	1005	1	SUBWAY_5	RALPH,REX,SOULLESS_SWORD_F	SOULLESS_BUG_N,SOULLESS_GHOUL_N,SOULLESS_CANNON,WOODY,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,MR_INCREDIBLE,SULLEY,NICK_WILDE,EVE,FINNICK	SWORD_IN_A_STONE,SHARD_REEL_FA_FAMILY_SHEARS,SHARD_REEL_STABLE_WALKING_CANE	NUMBER_ONE_DIME,IRON_ORE,ACE_OF_SPADES,SHARD_REEL_LAWNMOWER_REMOTE	
9-17	74	2	PURPLE_1	1011	0	SUBWAY_3	REX,SOULLESS_BUG_N,SOULLESS_SPLASH_N,FROZONE	FELIX,SOULLESS_BRUTE,BUZZ,FINNICK,JUDY_HOPPS	[boss]SOULLESS_BRUTE,JACK_JACK,NICK_WILDE,MIKE,SOULLESS_BUG_F,SOULLESS_BUG_N	SHARD_GIGANTIC_PEACH,SWORD_IN_A_STONE,TOUGH_COOKIE,SUNNY_SIDE	WIZARD_HAT,REEL_INCONSPICUOUS_APPLE,CLEVER_FOX	
9-18	74	2	PURPLE_1	1017	0	SUBWAY_4	SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_BUG_N,YAX	REX,FELIX,SOULLESS_GHOUL_N,JESSIE,SOULLESS_MAGE_F	[boss]SOULLESS_SWORD_F,MR_INCREDIBLE,SOULLESS_GHOUL_F,SOULLESS_BUG_N,DASH,VIOLET	SHARD_REEL_FOX_MACE,SHARD_EXTRACT_OF_LLAMA,SHARD_WIG_A_LA_MODE	SHARD_REEL_ROUSING_MUSICAL_NUMBER,SHARD_REEL_HOT_DOG,REEL_TIME_SINK	
9-19	75	2	PURPLE_1	1023	1	SUBWAY_1	SOULLESS_BRUTE,SOULLESS_BUG_N,SOULLESS_BUG_N,WOODY	REX,SOULLESS_GHOUL_N,SOULLESS_SWORD_N,VANELLOPE,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,SOULLESS_BUG_F,SOULLESS_MAGE_F,SOULLESS_BUG_N,JESSIE	GRUB,SHARD_IMAGINATION_SHIP,SHARD_REEL_STONE_GUARDIAN	SHARD_REEL_MIST_MAKER,SHARD_AIR_HERCS,REEL_CRAB_CAKE	
10-1	70	2	PURPLE_2	1030	1	UPTOWN_SUBWAY_4	SOULLESS_SWORD_F,SOULLESS_MAGE_N,MIKE,FINNICK	SOULLESS_GHOUL_N,SOULLESS_MAGE_N,VIOLET	[boss]SULLEY,FELIX,RALPH,JACK_SPARROW,VANELLOPE	REEL_INCONSPICUOUS_APPLE,REEL_TINY_CAR,SHARD_SHRINK_RAY	SHARD_REEL_ARAIGNEE_NOIRE,SHARD_REEL_LAWNMOWER_REMOTE,SHARD_GIGANTIC_PEACH	
10-2	71	2	PURPLE_2	1036	0	PARK_MIDWAY_1	SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_SWORD_F,VIOLET	CHIEF_BOGO,SOULLESS_BRUTE,CALHOUN,JUDY_HOPPS,FROZONE	[boss]FELIX,MR_INCREDIBLE,MIKE,ELASTIGIRL,EVE,JACK_SPARROW	SHARD_WICKED_BEATS,REEL_TIME_SINK,SHARD_REEL_WILDERNESS_EXPLORER,SHARD_SPILT_MILK	SHARD_REEL_FOX_MACE,IRON_ORE	
10-3	71	2	PURPLE_2	1042	0	PARK_MIDWAY_2	RALPH,SOULLESS_MAGE_F,JACK_JACK,SOULLESS_SWORD_N	REX,SOULLESS_SPLASH_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,MR_INCREDIBLE,MIKE,CALHOUN,JESSIE	SHARD_REEL_PINEAPPLE_CRATE,SHARD_REEL_MIST_MAKER,SHARD_WICKED_BEATS,REEL_TIME_SINK	SHARD_REEL_HOT_DOG,SHARD_JAR_OF_MARS,SHARD_REEL_WILDERNESS_EXPLORER	
10-4	72	2	PURPLE_2	1048	1	PARK_MIDWAY_3	REX,SOULLESS_CANNON,SOULLESS_SWORD_N	SULLEY,SOULLESS_SKELETON,MIKE,FINNICK	[boss]CHIEF_BOGO,MR_INCREDIBLE,DASH,NICK_WILDE,SOULLESS_MAGE_F	SHARD_REEL_WILDERNESS_EXPLORER,SHARD_REEL_BADGE_OF_MOTIVATION,SHARD_LUCKY_EARS	SHARD_REEL_MIST_MAKER,SHARD_WIG_A_LA_MODE,SHARD_REEL_ROUSING_MUSICAL_NUMBER,SHARD_REEL_BADGE_OF_MOTIVATION,SHARD_REEL_FREDS_RECYCLED_BOXERS	
10-5	72	2	PURPLE_2	1054	0	PARK_MIDWAY_4	SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SPLASH_F	SOULLESS_BRUTE,ELASTIGIRL,NICK_WILDE,SOULLESS_SWORD_N	[boss]REX,FELIX,CALHOUN,JESSIE,SOULLESS_MAGE_F,FROZONE	PAPER_AIRPLANE,COPPER_ORE,SHARD_REEL_PINEAPPLE_CRATE,SHARD_REEL_MIST_MAKER	REEL_TINY_CAR,SHARD_REEL_FLUBBER,SHARD_REEL_LAWNMOWER_REMOTE	
10-6	73	2	PURPLE_2	1061	0	PARK_MIDWAY_5	RALPH,SOULLESS_CANNON,VANELLOPE,SOULLESS_CANNON	SOULLESS_SWORD_F,MR_INCREDIBLE,SOULLESS_CANNON,SOULLESS_MAGE_F	[boss]REX,JESSIE,ELASTIGIRL,JACK_SPARROW,YAX	FISHING_POLE,REEL_PARTY_REX,PAPER_AIRPLANE,COPPER_ORE	REEL_PRICKLY_PEAR	
10-7	73	2	PURPLE_2	1067	1	PARK_MIDWAY_6	SOULLESS_SWORD_F,JACK_JACK	MR_INCREDIBLE,SOULLESS_MAGE_F,SOULLESS_MAGE_F,WOODY	[boss]FELIX,MIKE,ELASTIGIRL,EVE,DASH	SHARD_SPILT_MILK,FISHING_POLE,SHARD_DEUS_EX_CALIBUR	SHARD_REEL_DOCTORS_TOP_HAT,SHARD_REEL_INCOGNITO_MODE,SHARD_AIR_HERCS	
10-8	74	2	PURPLE_2	1073	0	PARK_MIDWAY_7	SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_SWORD_N,SOULLESS_SWORD_N	MR_INCREDIBLE,SOULLESS_SWORD_F,BUZZ,VANELLOPE,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,JACK_SPARROW,CALHOUN,FROZONE,JUDY_HOPPS,SOULLESS_MAGE_F	EMBRITTLEMENT_PERFUME,REEL_CRAB_CAKE,FISHING_POLE,REEL_PARTY_REX	SHARD_REEL_BADGE_OF_MOTIVATION,GLASS_SLIPPERS	
10-9	74	2	PURPLE_2	1079	0	PARK_MIDWAY_8	REX,MIKE,SOULLESS_SWORD_F	SOULLESS_SWORD_N,SOULLESS_GHOUL_F,JACK_JACK,SOULLESS_MAGE_F,SOULLESS_SWORD_F	[boss]RALPH,CHIEF_BOGO,CALHOUN,VANELLOPE,WOODY	SHARD_UNBIRTHDAY_HAT,REEL_MRS_NESBITTS_CHAPEAU,EMBRITTLEMENT_PERFUME,REEL_CRAB_CAKE	SHARD_REEL_FAMILY_HEIRLOOM,SHARD_LOVE_BUG	
10-10	75	2	PURPLE_2	1085	1	PARK_MIDWAY_9	SOULLESS_BRUTE,WOODY,SOULLESS_MAGE_F	REX,SOULLESS_CANNON,SOULLESS_SPLASH_N,FINNICK	[boss]SULLEY,FELIX,JACK_SPARROW,VANELLOPE,JUDY_HOPPS	REEL_CONSPICUOUS_APPLE,SHARD_REEL_PIGASUS,SHARD_THINKING_CAP	SHARD_YOU_CAN_FLY,SHARD_REEL_BADGE_OF_MOTIVATION,MOON_ANCHOR	
10-11	76	2	PURPLE_2	1092	0	PARK_MIDWAY_10	SOULLESS_BRUTE,JESSIE,SOULLESS_TURRET,VIOLET	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SWORD_N,WOODY,SOULLESS_MAGE_F	[boss]MR_INCREDIBLE,DASH,NICK_WILDE,ELASTIGIRL,EVE	MOON_ANCHOR,SHARD_RASPBEARY_CAKE,SHARD_UNBIRTHDAY_HAT,REEL_MRS_NESBITTS_CHAPEAU	SHARD_REEL_GLOW_BUG,SHARD_EXTRACT_OF_LLAMA,SUPER_DUPER_GLUE	
10-12	76	2	PURPLE_2	1098	0	PARK_MIDWAY_8	FELIX,SOULLESS_CANNON,VANELLOPE	SOULLESS_SWORD_F,SOULLESS_GHOUL_N,SOULLESS_GHOUL_F,JACK_SPARROW	[boss]SULLEY,JACK_JACK,ELASTIGIRL,NICK_WILDE,BUZZ,WOODY	REEL_CONSPICUOUS_APPLE,MULTIPURPOSE_FRYING_PAN,MOON_ANCHOR,SHARD_RASPBEARY_CAKE	SHARD_REEL_HOT_DOG,SHARD_ESCAPE_PLAN,SHARD_REEL_GLOW_BUG	
10-13	77	2	PURPLE_2	1104	1	PARK_MIDWAY_6	SOULLESS_SKELETON,VANELLOPE,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_SPLASH_F	[boss]CHIEF_BOGO,MR_INCREDIBLE,JACK_SPARROW,ELASTIGIRL,JESSIE,SOULLESS_MAGE_F	SHARD_SPILT_MILK,REEL_TIME_SINK,SHARD_REEL_OO_DE_LALLY_ARROWS	SHARD_REEL_FAMILY_HEIRLOOM,SHARD_PRINCESS_FINDER,SHARD_FAIRY_LANTERN,SHARD_REEL_MIST_MAKER	
10-14	77	2	PURPLE_2	1110	0	PARK_MIDWAY_11	RALPH,DASH,JACK_JACK,JESSIE	SOULLESS_GHOUL_N,ELASTIGIRL,MIKE,SOULLESS_MAGE_F	[boss]SULLEY,JACK_SPARROW,SOULLESS_CANNON,VANELLOPE,FROZONE	SHARD_REEL_SAVE_TOKEN,REEL_CONSPICUOUS_APPLE,MULTIPURPOSE_FRYING_PAN	REEL_BADGE_OF_GIRTH,REEL_MRS_NESBITTS_CHAPEAU,COOKBOOK	
10-15	78	2	PURPLE_2	1116	0	PARK_MIDWAY_12	SOULLESS_SKELETON,SOULLESS_GHOUL_F,CALHOUN	SOULLESS_SWORD_F,SULLEY,VANELLOPE,SOULLESS_SPLASH_N,WOODY	[boss]FELIX,JACK_JACK,BUZZ,DASH,NICK_WILDE,YAX	SHARD_AQUARIUM_TAG,SUPER_DUPER_GLUE,SHARD_REEL_SAVE_TOKEN	REEL_SAN_FRANCISCO_PIZZA,SHARD_REEL_BASKETBALL_JERSEY,SHARD_REEL_ARAIGNEE_NOIRE	
10-16	78	2	PURPLE_2	1123	1	PARK_MIDWAY_13	SOULLESS_SKELETON,SOULLESS_SKELETON,JACK_SPARROW	SOULLESS_SKELETON,SOULLESS_CANNON,ELASTIGIRL,SOULLESS_SPLASH_N,SOULLESS_SPLASH_N	[boss]RALPH,SOULLESS_SKELETON,JACK_JACK,BUZZ,KEVIN_FLYNN,SOULLESS_MAGE_F	REEL_CRAB_CAKE,REEL_MRS_NESBITTS_CHAPEAU,SHARD_REEL_POTENTIAL_CARRIAGE	SHARD_FAIRY_LANTERN,SHARD_GIGANTIC_PEACH,SHARD_REEL_MIST_MAKER	
10-17	79	2	PURPLE_2	1129	0	PARK_MIDWAY_7	SOULLESS_SWORD_N,SOULLESS_BRUTE,BUZZ,SOULLESS_SWORD_N	REX,DASH,VANELLOPE,SOULLESS_CANNON,JESSIE	[boss]SULLEY,MR_INCREDIBLE,JACK_SPARROW,JUDY_HOPPS,KEVIN_FLYNN	SHARD_AQUARIUM_TAG,SUPER_DUPER_GLUE	SHARD_AIR_HERCS,SHARD_REEL_REALLY_BAD_EGG,DULL_SWORD	
10-18	79	2	PURPLE_2	1135	0	PARK_MIDWAY_10	RALPH,NICK_WILDE,DASH	SOULLESS_SWORD_N,JACK_SPARROW,SOULLESS_MAGE_F	[boss]FINNICK,JESSIE,JACK_JACK,JUDY_HOPPS,FROZONE	SHARD_SPILT_MILK,BADGE_OF_FRIENDSHIP,SHARD_AQUARIUM_TAG	SHARD_REEL_FOX_MACE,SHARD_REEL_FLUBBER,GLASS_SLIPPERS	
10-19	80	2	PURPLE_2	1141	1	PARK_MIDWAY_14	MR_INCREDIBLE,JACK_SPARROW,SOULLESS_SWORD_F,YAX	SOULLESS_GHOUL_F,SOULLESS_TURRET,SOULLESS_TURRET,SOULLESS_MAGE_N,ELASTIGIRL	[boss]REX,VANELLOPE,CALHOUN,JESSIE	SHARD_REEL_SAVE_TOKEN,SUPER_DUPER_GLUE,SHARD_REEL_SCREAM_CANISTER	SHARD_SPILT_MILK,SHARD_REEL_SEA_WITCHS_CONTRACT,MEEKOS_BISCUITS	
11-1	75	2	PURPLE_3	1377	1	HACKER_ENCLAVE_1	SOULLESS_SWORD_N,SOULLESS_CANNON,WOODY	MR_INCREDIBLE,MIKE,VANELLOPE,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,DASH,SOULLESS_CANNON,CALHOUN,SOULLESS_MAGE_F	SHARD_LOVE_BUG,SHARD_A_VERY_PINE_HAT,SHARD_CUTEING_STAR	SHARD_REEL_CHIEFS_STONE,SHARD_SPILT_MILK,SHARD_REEL_CHIEFS_STONE	
11-2	76	2	PURPLE_3	1384	0	HACKER_ENCLAVE_2	SOULLESS_SWORD_F,ELASTIGIRL,SOULLESS_SWORD_F	FELIX,SOULLESS_GHOUL_F,SOULLESS_SPLASH_F,MIKE,YAX	[boss]SULLEY,SOULLESS_SKELETON,SOULLESS_GHOUL_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N,JUDY_HOPPS	SHARD_REEL_UKULELE,SHARD_A_VERY_PINE_HAT,SHARD_CUTEING_STAR	REEL_LOVELY_BUNCH_OF_COCONUTS,SHARD_SPILT_MILK,SHARD_REEL_CHIEFS_STONE	
11-3	76	2	PURPLE_3	1392	0	HACKER_ENCLAVE_3	SOULLESS_GHOUL_N,CALHOUN,SOULLESS_SPLASH_F,SOULLESS_SPLASH_N	SOULLESS_SWORD_N,RALPH,SOULLESS_SKELETON,SOULLESS_BUG_F,WOODY	[boss]SULLEY,SOULLESS_BUG_N,SOULLESS_MAGE_N,KEVIN_FLYNN,SOULLESS_MAGE_N	SHARD_A_VERY_PINE_HAT,SHARD_CUTEING_STAR,SHARD_REEL_UKULELE	SHARD_REEL_CHIEFS_STONE,REEL_CRAB_CAKE,REEL_LOVELY_BUNCH_OF_COCONUTS	
11-4	77	2	PURPLE_3	1399	1	HACKER_ENCLAVE_4	SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_TURRET,SOULLESS_MAGE_N	FELIX,SOULLESS_BUG_N,ELASTIGIRL,VIOLET	[boss]REX,SOULLESS_MAGE_N,SOULLESS_BUG_N,JUDY_HOPPS,SOULLESS_SWORD_N,CAT_BURGLAR	SHARD_REEL_LIGHTSPEED,SHARD_CUTEING_STAR,SHARD_REEL_UKULELE	SNUGGLY_DUCKLING,REEL_CRAB_CAKE,REEL_LOVELY_BUNCH_OF_COCONUTS	
11-5	77	2	PURPLE_3	1407	0	HACKER_ENCLAVE_5	SOULLESS_SWORD_F,EVE,SOULLESS_MAGE_N	SOULLESS_GHOUL_N,JACK_SPARROW,JACK_JACK,SOULLESS_SWORD_F,SOULLESS_SWORD_N	[boss]MR_INCREDIBLE,SOULLESS_SWORD_F,SOULLESS_TURRET,SOULLESS_SPLASH_N,DASH,SOULLESS_MAGE_N	SHARD_REEL_WINNIFREDS_SPELLBOOK,SHARD_CUTEING_STAR,SHARD_REEL_UKULELE	SNUGGLY_DUCKLING,REEL_CRAB_CAKE,REEL_LOVELY_BUNCH_OF_COCONUTS	
11-6	78	2	PURPLE_3	1414	0	HACKER_ENCLAVE_6	REX,NICK_WILDE,JACK_SPARROW	RALPH,BUZZ,SOULLESS_BUG_N,SOULLESS_BUG_N,SOULLESS_TURRET	[boss]SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_BUG_N,SOULLESS_TURRET,KEVIN_FLYNN	SHARD_REEL_UKULELE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_WINNIFREDS_SPELLBOOK	REEL_LOVELY_BUNCH_OF_COCONUTS,REEL_LOVELY_BUNCH_OF_COCONUTS,SNUGGLY_DUCKLING	
11-7	78	2	PURPLE_3	1422	1	HACKER_ENCLAVE_7	SOULLESS_SWORD_F,ELASTIGIRL	SOULLESS_SKELETON,DASH,SOULLESS_CANNON,BUZZ,CAT_BURGLAR	[boss]FELIX,SOULLESS_GHOUL_N,REX,SOULLESS_CANNON,YAX	SHARD_REEL_BONE_XYLOPHONE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_WINNIFREDS_SPELLBOOK	SHARD_IMAGINATION_SHIP,REEL_LOVELY_BUNCH_OF_COCONUTS,SNUGGLY_DUCKLING	
11-8	79	2	PURPLE_3	1429	0	HACKER_ENCLAVE_8	SOULLESS_SKELETON,SOULLESS_MAGE_N,SOULLESS_BUG_N,VIOLET	SOULLESS_GHOUL_N,ELASTIGIRL,SOULLESS_MAGE_N,SOULLESS_MAGE_F,CALHOUN	[boss]SOULLESS_SWORD_N,MIKE,SOULLESS_BUG_N,SOULLESS_BUG_N,FINNICK,SOULLESS_SWORD_F	SHARD_REEL_JAR_OF_HUNNY,SHARD_A_VERY_PINE_HAT,SHARD_REEL_WINNIFREDS_SPELLBOOK	SHARD_REEL_MISPLACED_TAIL,REEL_LOVELY_BUNCH_OF_COCONUTS,SNUGGLY_DUCKLING	
11-9	79	2	PURPLE_3	1436	0	HACKER_ENCLAVE_9	FELIX,SOULLESS_TURRET	SOULLESS_SWORD_N,ELASTIGIRL,MIKE,VANELLOPE	[boss]REX,SULLEY,SOULLESS_TURRET,SOULLESS_BUG_N,SOULLESS_CANNON,SOULLESS_MAGE_N	SHARD_REEL_WINNIFREDS_SPELLBOOK,SHARD_CUTEING_STAR,SHARD_REEL_JAR_OF_HUNNY	SNUGGLY_DUCKLING,REEL_SAN_FRANCISCO_PIZZA,SHARD_REEL_MISPLACED_TAIL	
11-10	80	2	PURPLE_3	1444	1	HACKER_ENCLAVE_10	SOULLESS_GHOUL_F,SOULLESS_BUG_N,SOULLESS_BUG_F	SOULLESS_BRUTE,ELASTIGIRL,KEVIN_FLYNN,YAX	[boss]RALPH,FELIX,SOULLESS_SKELETON,CAT_BURGLAR,SOULLESS_CANNON,VIOLET	SHARD_REEL_PIGASUS,SHARD_CUTEING_STAR,SHARD_REEL_JAR_OF_HUNNY	SHARD_SPILT_MILK,REEL_SAN_FRANCISCO_PIZZA,SHARD_REEL_MISPLACED_TAIL	
11-11	81	2	PURPLE_3	1451	0	HACKER_ENCLAVE_11	SOULLESS_BRUTE,CAT_BURGLAR,NICK_WILDE	MR_INCREDIBLE,SOULLESS_GHOUL_F,SOULLESS_SKELETON,JACK_JACK,FROZONE	[boss]SOULLESS_BRUTE,RALPH,VANELLOPE,SOULLESS_CANNON,ELASTIGIRL,YAX	SHARD_REEL_MYSTERIOUS_JOURNAL,SHARD_CUTEING_STAR,SHARD_REEL_JAR_OF_HUNNY	PIRATES_COMPASS,REEL_SAN_FRANCISCO_PIZZA,SHARD_REEL_MISPLACED_TAIL	
11-12	81	2	PURPLE_3	1459	0	HACKER_ENCLAVE_12	SULLEY,SOULLESS_SWORD_N,SOULLESS_MAGE_F,KEVIN_FLYNN	SOULLESS_SWORD_N,CAT_BURGLAR,DASH,ELASTIGIRL,SOULLESS_SWORD_F	[boss]RALPH,SOULLESS_CANNON,SOULLESS_SPLASH_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F,FROZONE	SHARD_REEL_JAR_OF_HUNNY,SHARD_A_VERY_PINE_HAT,SHARD_REEL_MYSTERIOUS_JOURNAL	SHARD_REEL_MISPLACED_TAIL,REEL_PRICKLY_PEAR,PIRATES_COMPASS	
11-13	82	2	PURPLE_3	1466	1	HACKER_ENCLAVE_13	SOULLESS_GHOUL_F,MR_INCREDIBLE,SOULLESS_MAGE_N	SOULLESS_SKELETON,SOULLESS_SPLASH_F,MIKE,CAT_BURGLAR,VIOLET	[boss]FELIX,SULLEY,VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F,TIA_DALMA	SHARD_RASPBEARY_CAKE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_MYSTERIOUS_JOURNAL	REEL_SAN_FRANCISCO_PIZZA,REEL_PRICKLY_PEAR,PIRATES_COMPASS	
11-14	82	2	PURPLE_3	1474	0	HACKER_ENCLAVE_14	REX,JACK_SPARROW,SOULLESS_MAGE_F,SOULLESS_SPLASH_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,ELASTIGIRL,SOULLESS_BUG_F,NICK_WILDE	[boss]CHIEF_BOGO,SOULLESS_SWORD_F,DASH,SOULLESS_BUG_N,SOULLESS_BUG_F,FINNICK	SHARD_REEL_GUMMIBEARY_JUICE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_MYSTERIOUS_JOURNAL	SHARD_IMAGINATION_SHIP,REEL_PRICKLY_PEAR,PIRATES_COMPASS	
11-15	83	2	PURPLE_3	1481	0	HACKER_ENCLAVE_15	SOULLESS_GHOUL_F,SOULLESS_SWORD_F	FELIX,SULLEY,SOULLESS_GHOUL_N,JESSIE,FROZONE	[boss]SOULLESS_SKELETON,REX,BUZZ,CALHOUN,NICK_WILDE,CAT_BURGLAR	SHARD_REEL_MYSTERIOUS_JOURNAL,SHARD_CUTEING_STAR,SHARD_REEL_GUMMIBEARY_JUICE	PIRATES_COMPASS,REEL_TINY_CAR,SHARD_IMAGINATION_SHIP	
11-16	83	2	PURPLE_3	1489	1	HACKER_ENCLAVE_16	SOULLESS_SWORD_F,NICK_WILDE,CAT_BURGLAR,SOULLESS_SWORD_N	SOULLESS_GHOUL_F,SOULLESS_BUG_F,SOULLESS_SPLASH_N,SOULLESS_MAGE_F,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,SOULLESS_SPLASH_F,SOULLESS_MAGE_N,TIA_DALMA,ELASTIGIRL	SHARD_AIR_HERCS,SHARD_CUTEING_STAR,SHARD_REEL_GUMMIBEARY_JUICE	TOUGH_COOKIE,REEL_TINY_CAR,SHARD_IMAGINATION_SHIP	
11-17	84	2	PURPLE_3	1496	0	HACKER_ENCLAVE_17	SULLEY,MR_INCREDIBLE,SOULLESS_MAGE_N,EVE	FELIX,SOULLESS_CANNON,JACK_SPARROW,FROZONE,YAX	[boss]SOULLESS_SKELETON,SOULLESS_MAGE_N,JACK_JACK,SOULLESS_SWORD_N,SOULLESS_MAGE_F	SHARD_REEL_CLOSE_SHAVE,SHARD_CUTEING_STAR,SHARD_REEL_GUMMIBEARY_JUICE	REEL_GOLDEN_FLOWER,REEL_TINY_CAR,SHARD_IMAGINATION_SHIP	
11-18	84	2	PURPLE_3	1503	0	HACKER_ENCLAVE_16	SOULLESS_GHOUL_N,SULLEY,CALHOUN,JESSIE	SOULLESS_SWORD_N,SOULLESS_GHOUL_N,SOULLESS_SPLASH_F,BUZZ,VIOLET	[boss]REX,HECTOR_BARBOSSA,NICK_WILDE,VANELLOPE,KEVIN_FLYNN	SHARD_REEL_GUMMIBEARY_JUICE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_CLOSE_SHAVE	SHARD_IMAGINATION_SHIP,REEL_GOLDEN_FLOWER,REEL_GOLDEN_FLOWER	
11-19	85	2	PURPLE_3	1511	1	HACKER_ENCLAVE_15	CHIEF_BOGO,TIA_DALMA,CAT_BURGLAR,MIKE	SOULLESS_BRUTE,SOULLESS_SKELETON,SOULLESS_MAGE_N,EVE,JACK_SPARROW	[boss]FELIX,JACK_JACK,SOULLESS_BUG_N,SOULLESS_MAGE_F,FINNICK,FROZONE	SHARD_REEL_LAWNMOWER_REMOTE,SHARD_A_VERY_PINE_HAT,SHARD_REEL_CLOSE_SHAVE	SWORD_IN_A_STONE,REEL_GOLDEN_FLOWER,REEL_GOLDEN_FLOWER	
12-1	80	2	PURPLE_4	1518	1	HACKER_ENCLAVE_NEW_1	CHIEF_BOGO,SOULLESS_SPLASH_F,EMPEROR_ZURG,VIOLET	MR_INCREDIBLE,VANELLOPE,SOULLESS_SPLASH_F,CALHOUN,SOULLESS_SPLASH_F	[boss]SULLEY,MERIDA,JACK_JACK,JACK_SPARROW,SOULLESS_SPLASH_F,SOULLESS_MAGE_F	SHARD_YOU_CAN_FLY,SHARD_CROWN_OF_THE_WILD_FRONTIER,SHARD_LOVE_BIRDS	REEL_PRICKLY_PEAR,SHARD_REEL_WILDERNESS_EXPLORER,CONTINENTAL_BREAKFAST	
12-2	81	2	PURPLE_4	1526	0	HACKER_ENCLAVE_NEW_2	SULLEY,JESSIE,HECTOR_BARBOSSA,VIOLET	MAUI,FELIX,MERIDA,SOULLESS_SPLASH_F,TIA_DALMA	[boss]RALPH,MR_INCREDIBLE,CALHOUN,JACK_JACK,ELASTIGIRL,JUDY_HOPPS	SHARD_VITAL_INFORMATION,SHARD_CROWN_OF_THE_WILD_FRONTIER,SHARD_LOVE_BIRDS	EMBRITTLEMENT_PERFUME,SHARD_REEL_WILDERNESS_EXPLORER,CONTINENTAL_BREAKFAST	
12-3	81	2	PURPLE_4	1533	0	HACKER_ENCLAVE_NEW_3	CHIEF_BOGO,HECTOR_BARBOSSA,NICK_WILDE,DASH	FELIX,MIKE,SOULLESS_SPLASH_F,SOULLESS_GLASS_CANNON_F,KEVIN_FLYNN	[boss]REX,RALPH,VANELLOPE,CALHOUN,ELASTIGIRL,FINNICK	SHARD_CROWN_OF_THE_WILD_FRONTIER,SHARD_LOVE_BIRDS,SHARD_VITAL_INFORMATION	CONTINENTAL_BREAKFAST,SHARD_REEL_REALLY_BAD_EGG,EMBRITTLEMENT_PERFUME	
12-4	82	2	PURPLE_4	1541	1	HACKER_ENCLAVE_NEW_4	BAYMAX,DASH,SOULLESS_GLASS_CANNON_F,MIKE	SOULLESS_GHOUL_F,ELASTIGIRL,EMPEROR_ZURG,SOULLESS_GLASS_CANNON_F,KEVIN_FLYNN	[boss]RALPH,CHIEF_BOGO,SOULLESS_SPLASH_F,EVE,SOULLESS_GLASS_CANNON_F,HECTOR_BARBOSSA	SHARD_REEL_FLUBBER,SHARD_LOVE_BIRDS,SHARD_VITAL_INFORMATION	REEL_TIME_SINK,SHARD_REEL_REALLY_BAD_EGG,EMBRITTLEMENT_PERFUME	
12-5	82	2	PURPLE_4	1548	0	HACKER_ENCLAVE_NEW_5	CHIEF_BOGO,EMPEROR_ZURG,BUZZ,CALHOUN	MR_INCREDIBLE,FELIX,NICK_WILDE,SOULLESS_MAGE_F,JUDY_HOPPS	[boss]BAYMAX,JACK_JACK,SOULLESS_GLASS_CANNON_F,FINNICK,FROZONE,WOODY	SHARD_SALLYS_SPICES,SHARD_LOVE_BIRDS,SHARD_VITAL_INFORMATION	REEL_CONSPICUOUS_APPLE,SHARD_REEL_REALLY_BAD_EGG,EMBRITTLEMENT_PERFUME	
12-6	83	2	PURPLE_4	1556	0	HACKER_ENCLAVE_NEW_6	SULLEY,SOULLESS_GHOUL_F,SOULLESS_GLASS_CANNON_N,CALHOUN	CHIEF_BOGO,SOULLESS_SPLASH_F,MIKE,VANELLOPE,TIA_DALMA	[boss]FELIX,REX,SOULLESS_GLASS_CANNON_F,NICK_WILDE,EMPEROR_ZURG,EVE	SHARD_VITAL_INFORMATION,SHARD_CROWN_OF_THE_WILD_FRONTIER,SHARD_SALLYS_SPICES	EMBRITTLEMENT_PERFUME,SHARD_REEL_INCOGNITO_MODE,REEL_CONSPICUOUS_APPLE	
