	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	HP_MAX	BASIC_DAMAGE	SKILL_POWER	HP_REGEN	ENERGY_REGEN	ARMOR	REALITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	CONSERVATION	IMPROVED_HEALING	EVASION	CRIT_DAMAGE	POWER
PQ_FIREWORKS_EMOJI	EMOJI	WHITE		R9000																							
PQ_FLAMINGO_EMOJI	EMOJI	WHITE		R9000																							
PQ_FLOWER_EMOJI	EMOJI	WHITE		R9000																							
PQ_FOUR_LEAF_CLOVER_EMOJI	EMOJI	WHITE		R9000																							
PQ_FOX_EMOJI	EMOJI	WHITE		R9000																							
PQ_FRENCH_FRIES_EMOJI	EMOJI	WHITE		R9000																							
PQ_HAMBURGER_EMOJI	EMOJI	WHITE		R9000																							
PQ_HAND_WAVE_EMOJI	EMOJI	WHITE		R9000																							
PQ_HEALTH_EMOJI	EMOJI	WHITE		R9000																							
PQ_HEDGEHOG_EMOJI	EMOJI	WHITE		R9000																							
PQ_HONEY_STICK_EMOJI	EMOJI	WHITE		R9000																							
PQ_HOTDOG_EMOJI	EMOJI	WHITE		R9000																							
PQ_ICE_CREAM_SANDWICH_EMOJI	EMOJI	WHITE		R9000																							
PQ_JACK_O_LANTERN_EMOJI	EMOJI	WHITE		R9000																							
PQ_KANGAROO_EMOJI	EMOJI	WHITE		R9000																							
PQ_KING_EMOJI	EMOJI	WHITE		R9000																							
PQ_LEAF_EMOJI	EMOJI	WHITE		R9000																							
PQ_LEFT_ARROW_EMOJI	EMOJI	WHITE		R9000																							
PQ_LEFT_POW_EMOJI	EMOJI	WHITE		R9000																							
PQ_LIGHTBULB_EMOJI	EMOJI	WHITE		R9000																							
PQ_LLAMA_EMOJI	EMOJI	WHITE		R9000																							
PQ_MANGO_EMOJI	EMOJI	WHITE		R9000																							
PQ_MAST_SHIP_EMOJI	EMOJI	WHITE		R9000																							
PQ_MILKSHAKE_EMOJI	EMOJI	WHITE		R9000																							
PQ_MONEY_BAG_EMOJI	EMOJI	WHITE		R9000																							
PQ_OWL_EMOJI	EMOJI	WHITE		R9000																							
PQ_PANCAKES_EMOJI	EMOJI	WHITE		R9000																							
PQ_PANDA_EMOJI	EMOJI	WHITE		R9000																							
PQ_PAPARAZZI_CAMERA_EMOJI	EMOJI	WHITE		R9000																							
PQ_PAPER_EMOJI	EMOJI	WHITE		R9000																							
PQ_PARROT_EMOJI	EMOJI	WHITE		R9000																							
PQ_PIE_EMOJI	EMOJI	WHITE		R9000																							
PQ_PIRATE_HAT_EMOJI	EMOJI	WHITE		R9000																							
PQ_PIZZA_EMOJI	EMOJI	WHITE		R9000																							
PQ_POPSICLE_EMOJI	EMOJI	WHITE		R9000																							
PQ_POW_EMOJI	EMOJI	WHITE		R9000																							
PQ_QUESTION_MARK_EMOJI	EMOJI	WHITE		R9000																							
PQ_REDDOT_EMOJI	EMOJI	WHITE		R9000																							
PQ_RIGHT_ARROW_EMOJI	EMOJI	WHITE		R9000																							
PQ_SCISSORS_EMOJI	EMOJI	WHITE		R9000																							
PQ_SLOTH_EMOJI	EMOJI	WHITE		R9000																							
PQ_SNAIL_EMOJI	EMOJI	WHITE		R9000																							
PQ_SNOWFLAKE_EMOJI	EMOJI	WHITE		R9000																							
PQ_SNOWMAN_EMOJI	EMOJI	WHITE		R9000																							
PQ_SOCCER_BALL_EMOJI	EMOJI	WHITE		R9000																							
PQ_SOMBRERO_EMOJI	EMOJI	WHITE		R9000																							
PQ_LIGHTNING_EMOJI	EMOJI	WHITE		R9000																							
PQ_SUN_EMOJI	EMOJI	WHITE		R9000																							
PQ_SWEAT_DROPS_EMOJI	EMOJI	WHITE		R9000																							
PQ_TENTACLE_EMOJI	EMOJI	WHITE		R9000																							
PQ_TOPHAT_EMOJI	EMOJI	WHITE		R9000																							
PQ_UMBRELLA_EMOJI	EMOJI	WHITE		R9000																							
PQ_UP_ARROW_EMOJI	EMOJI	WHITE		R9000																							
PQ_WEDDING_RING_EMOJI	EMOJI	WHITE		R9000																							
PQ_WHALE_EMOJI	EMOJI	WHITE		R9000																							
RAJAH_EMOJI	EMOJI	WHITE		R1																							
SVEN_EMOJI	EMOJI	WHITE		R1																							
KRISTOFF_AND_SVEN_EMOJI	EMOJI	WHITE		R1																							
GERALD_EMOJI	EMOJI	WHITE		R1																							
MARLIN_EMOJI	EMOJI	WHITE		R1																							
NEMO_EMOJI	EMOJI	WHITE		R1																							
TIMON_EMOJI	EMOJI	WHITE		R1																							
PUMBAA_EMOJI	EMOJI	WHITE		R1																							
SIMBA_EMOJI	EMOJI	WHITE		R1																							
NALA_EMOJI	EMOJI	WHITE		R1																							
HANK_EMOJI	EMOJI	WHITE		R1																							
DORY_EMOJI	EMOJI	WHITE		R1																							
DAVY_JONES_EMOJI	EMOJI	WHITE		R1																							
BELLE_EMOJI	EMOJI	WHITE		R1																							
MAXIMUS_EMOJI	EMOJI	WHITE		R1																							
CHESHIRE_CAT_EMOJI	EMOJI	WHITE		R1																							
ANGEL_EMOJI	EMOJI	WHITE		R1																							
SUGAR_RUSH	GEAR	WHITE	1	R1	26	52	9		1		125									8			0	0			7.87
CLEVER_FOX	GEAR	WHITE	2	R1	92	184	9		2		100			100									0	0			5
BELLA_NOTTE	GEAR	WHITE	2	R1	75	150	9		2		100		10										0	0			7
DULL_SWORD	GEAR	WHITE	2	R1	162	324	9		2				20										0	0			6
SUNNY_SIDE	GEAR	WHITE	2	R1	125	250	9		2							45							0	0			9
ACE_OF_SPADES	GEAR	WHITE	1	R1	112	224	9		2			10											0	0			6
A_BIT_OF_PRESTIDIGITATION	GEAR	WHITE	2	R1	175	350	9		2		150					30							0	0			12
HEARTY_BREAKFAST	GEAR	WHITE	2	R1	75	150	9		2				15		10								0	0			9.5
BADGE_OF_FRIENDSHIP	GEAR	WHITE	1	R1	100	200	9		2						25								0	0			12.5
NUMBER_ONE_DIME	GEAR	WHITE	2	R1	75	150	9		2											15			0	0			5.38
PAPER_AIRPLANE	GEAR	WHITE	2	R1	87	174	9		2			5								8			0	0			5.87
GRUB	GEAR	WHITE	8	R1	225	450	9		4		50	8	8										0	0			9.2
ANEMONEMONE	GEAR	WHITE	9	R1	242	484	27		4		128					96							0	0			24.32
PARTY_REX	GEAR	WHITE	9	R1	262	524	27		4			25								11			0	0			20.54
INCONSPICUOUS_APPLE	GEAR	WHITE	9	R1	235	470	27		4				55		20								0	0			26.5
BUNDLE_OF_FIREWORKS	GEAR	WHITE	9	R1	250	500	18		4			20	20										0	0			18
THINGAMABOB	GEAR	WHITE	10	R1	275	550	27		4		235			235									0	0			11.75
BLUEBIRD_OF_HAPPINESS	GEAR	WHITE	10	R1	310	620	27		4			45											0	0			27
CONTINENTAL_BREAKFAST	GEAR	WHITE	10	R1	225	450	9		4				30										0	0			9
CRAB_CAKE	GEAR	GREEN	10	R1	228	456	36		4		100	50								10			0	0			39.04
GOLDEN_FLOWER	GEAR	GREEN	10	R1	400	800	27		4			40	25							7			0	0			35.03
LOVELY_BUNCH_OF_COCONUTS	GEAR	GREEN	10	R1	401	802	27		4		272		27							12			0	0			25.02
MULTIPURPOSE_FRYING_PAN	GEAR	GREEN	10	R1	225	450	9		4											12			0	0			6.04
TOUGH_COOKIE	GEAR	GREEN	12	R1	550	1,100	9		5							30				8			0	0			10.03
BADGE_OF_STEALTH	GEAR	GREEN	10	R1	225	450	9		4						15					8			0	0			11.53
MOON_ANCHOR	GEAR	GREEN	11	R1	450	900	9		5			7			7					10			0	0			12.74
PIRATES_COMPASS	GEAR	GREEN	10	R1	475	950	9		4		250			50									0	0			10.5
FISHING_POLE	GEAR	GREEN	10	R1	225	450	9		4			20		50									0	0			12.5
MEEKOS_BISCUITS	GEAR	GREEN	11	R1	500	1,000	9		5				30	50									0	0			9.5
SWORD_IN_A_STONE	GEAR	GREEN	10	R1	250	500	9		4					15	15								0	0			7.65
GLASS_SLIPPERS	GEAR	GREEN	11	R1	437	874	9		5					27		27							0	0			5.67
SUPER_DUPER_GLUE	GEAR	GREEN	10	R1	450	900	9		4		220			50	12								0	0			15.3
WIZARD_HAT	GEAR	GREEN	13	R1	600	1,200	9		6			6		60		18							0	0			7.8
COOKBOOK	GEAR	GREEN	15	R1	275	550	9		17					50			30						0	0			6.5
STRANGE_MUSHROOM	GEAR	GREEN	19	R1	1,112	2,224	27		9		300			100		90							0	0			31
SAN_FRANCISCO_PIZZA	GEAR	GREEN	20	R1	887	1,774	45		10		200	40	40										0	0			44
JAR_OF_MARS	GEAR	BLUE	22	R1	3,500	7,000	60	285	12		400	60											0	0			52
GOLDEN_TEAPOT	GEAR	GREEN	18	R1	975	1,950	36		8					65			155						0	0			31.65
POPPIN_CARPET_BAG	GEAR	GREEN	19	R1	925	1,850	18		9			28				36							0	0			24
PRICKLY_PEAR	GEAR	GREEN	16	R1	437	874	36		7		300			50	50								0	0			37.5
REINDEER_FUEL	GEAR	GREEN	18	R1	875	1,750	18		8		300												0	0			12
TREASURE_MAP	GEAR	GREEN	15	R1	492	984	45		7				40		50					12			0	0			45.49
FLYAWAY_UMBRELLA	GEAR	GREEN	16	R1	487	974	27		7			60											0	0			36
BADGE_OF_GIRTH	GEAR	GREEN	25	R1	1,025	2,050	45		15				40		50								0	0			37
HOMEOPATHIC_CURE	GEAR	GREEN	18	R1	837	1,674	27		8		300		40										0	0			24
ANVIL_OF_MORALITY	GEAR	GREEN	21	R1	1,153	2,306	63		11				40										0	0.1			17.9
MYSTERIOUS_SEEDLING	GEAR	GREEN	17	R1	725	1,450	18		8				40							12			0	0			20.49
TINY_CAR	GEAR	GREEN	19	R1	950	1,900	18		9							60							0	0			12
EMBRITTLEMENT_PERFUME	GEAR	GREEN	20	R1	275	550	9		10											12			0	0			8.49
SNUGGLY_DUCKLING	GEAR	GREEN	20	R1	437	874	9		10				40										0	0			12
PIRATE_HAT	GEAR	GREEN	18	R1	700	1,400	27		8		300				50								0	0			37
PIGGY_BANK	GEAR	GREEN	18	R1	700	1,400	27		8				40	100	50								0	0			38
GIGANTIC_PEACH	GEAR	BLUE	20	R1	2,500	5,000	60	200	10												25		0	0			17.69
IMAGINATION_SHIP	GEAR	BLUE	20	R1	500	1,000	60	200	10		400			200									0	0			18
PRINCESS_FINDER	GEAR	BLUE	20	R1	500	1,000	60	200	10									20					0	0			23.58
WIG_A_LA_MODE	GEAR	BLUE	24	R1	4,000	8,000	60	290	14				25								15		0	0			18.11
EXTRACT_OF_LLAMA	GEAR	BLUE	21	R1	3,000	6,000	60	280	11					2000									0	0			20
SPILT_MILK	GEAR	BLUE	23	R1	3,750	7,500	60	305	13							156							0	0			31.2
WICKED_BEATS	GEAR	BLUE	24	R1	4,000	8,000	60	290	14														0	0.1			5.9
MRS_NESBITTS_CHAPEAU	GEAR	BLUE	26	R1	1,025	2,050	78	331	16									20		12			0	0			32.07
CONSPICUOUS_APPLE	GEAR	BLUE	26	R1	1,025	2,050	78	331	16				55					20					0	0			40.08
IMPRACTICAL_CUFFLINKS	GEAR	GREEN	19	R1	675	1,350	27		9		100	50											0	0			34
NOTRE_DINNER_BELL	GEAR	GREEN	18	R1	700	1,400	27		8		300							9					0	0			26.91
TIME_SINK	GEAR	GREEN	18	R1	537	1,074	27		8		300												0	0			12
PROUD_UNICORN	GEAR	BLUE	35	R1	2,100	4,200	189	681	32				88								22		0	0			48.27
REALLY_BAD_EGG	GEAR	BLUE	30	R1	5,175	10,350	129	547	22									30					0	0			49.7
POCKET_TREE	GEAR	BLUE	34	R1	7,500	15,000	120	575	30										24				0	0			39.76
INCOGNITO_MODE	GEAR	BLUE	34	R1	11,100	22,200	138	465	30		300		45					7					0	0			37.1
ROUSING_MUSICAL_NUMBER	GEAR	BLUE	31	R1	20,225	40,450	69	528	24		450												0	0			18
SAVE_TOKEN	GEAR	BLUE	37	R1	5,725	11,450	129	524	40				60		60								0	0			48
BASKETBALL_JERSEY	GEAR	BLUE	32	R1	4,450	8,900	87	495	26			90						7					0	0			65.6
BADGE_OF_MOTIVATION	GEAR	BLUE	33	R1	10,735	21,470	147	715	28				50						15				0	0			39.85
CLEANING_SERVICE	GEAR	BLUE	35	R1	1,650	3,300	27	471	32				50					9					0	0			29.91
YZMAS_ANTI_AGING_CREAM	GEAR	BLUE	35	R1	2,050	4,100	156	585	32			90			50			7					0	0			90.6
DREAM_JAR	GEAR	BLUE	36	R1	3,500	7,000	78	267	36		300							7					0	0			23.6
CHIEFS_STONE	GEAR	BLUE	35	R1	5,475	10,950	189	726	32		720								12				0	0			48.68
YOU_CAN_FLY	GEAR	BLUE	22	R1	3,500	7,000	60	285	12			50					175						0	0			65
WILDERNESS_EXPLORER	GEAR	BLUE	41	R1	7,175	14,350	87	497	50				120										0	0			36
CHERRY_BOMB	GEAR	BLUE	41	R1	2,306	4,612	126	658	50					750		300							0	0			67.5
BOOS_ROOM_KEY	GEAR	BLUE	42	R1	1,600	3,200	129	429	54										30		15		0	0			90.77
SHOEBILL	GEAR	BLUE	42	R1	7,375	14,750	138	678	54			75				300							0	0			105
DISCARDED_TIARA	GEAR	BLUE	42	R1	14,500	29,000	180	996	54				100			300							0	0			90
BONE_XYLOPHONE	GEAR	BLUE	42	R1	14,500	29,000	180	996	54		250		150										0	0			55
SEA_WITCHS_CONTRACT	GEAR	BLUE	43	R1	6,975	13,950	129	690	60					750			300						0	0			67.5
DOCTORS_TOP_HAT	GEAR	BLUE	43	R1	7,250	14,500	129	648	60									42					0	0			97.76
MISPLACED_TAIL	GEAR	BLUE	44	R1	8,975	17,950	129	684	64		400						225						0	0			61
GLOW_BUG	GEAR	BLUE	44	R1	14,000	28,000	180	890	64				100				300						0	0			90
PIGASUS	GEAR	BLUE	44	R1	14,000	28,000	180	890	64		500	175											0	0			125
STYLIN_PENGUIN	GEAR	BLUE	45	R1	2,525	5,050	45	700	70														0	0.1			16.35
LOVE_BUG	GEAR	PURPLE	45	R1	10,500	21,000	300	1,120	90			180								12			0	0			131.54
AIR_HERCS	GEAR	PURPLE	46	R1	13,500	27,000	300	1,190	120		400			1100	80								0	0			67
FAIRY_LANTERN	GEAR	PURPLE	46	R1	10,500	21,000	300	1,050	100		400		50		120								0	0			91
ESCAPE_PLAN	GEAR	PURPLE	47	R1	12,000	24,000	300	1,120	120			200											0	0			120
FLUBBER	GEAR	PURPLE	47	R1	9,425	18,850	354	2,654	120							150	150					30	0	0			158.1
LAWNMOWER_REMOTE	GEAR	PURPLE	48	R1	27,275	54,550	669	3,636	120		800											30	0	0			130.1
BEAUTIFUL_LAMP	GEAR	PURPLE	48	R1	21,470	42,940	294	2,758	120		800	100											0	0			92
ARAIGNEE_NOIRE	GEAR	PURPLE	49	R1	10,364	20,728	363	1,942	130		400				100								0	0			66
MIST_MAKER	GEAR	PURPLE	49	R1	18,025	36,050	678	2,965	140		450						450						0	0			108
LIGHTSPEED	GEAR	PURPLE	50	R1	18,025	36,050	678	2,965	140		400					500							0	0			116
FAMILY_HEIRLOOM	GEAR	PURPLE	50	R1	44,437	88,874	909	5,924	140			225					325						0	0			200
HOT_DOG	GEAR	PURPLE	51	R2	24,625	49,250	718	3,147	250			210						6		16			0	0			197.67
LAST_RESORT	GEAR	PURPLE	52	R2	24,625	49,250	718	3,147	250				125					7		7			0	0			88.96
FOX_MACE	GEAR	PURPLE	53	R2	20,462	40,924	445	2,530	250		700		70										0.1	0			140.89
DE_VILS_LIPSTICK	GEAR	PURPLE	54	R2	4,612	9,224	252	1,531	80			190											0	0			114
JAFARS_CUFFLINKS	GEAR	PURPLE	55	R2	29,500	59,000	820	2,795	280		2000												0	0			80
PASSIVE_AGGRESSIVE_ELLIPSIS	GEAR	PURPLE	56	R2	29,500	59,000	820	2,795	280				400						15				0	0			188.91
SPEAR_MINT	GEAR	PURPLE	56	R2	23,750	47,500	829	2,860	280		230	230											0	0			147.2
AQUARIUM_TAG	GEAR	PURPLE	57	R2	33,000	66,000	1,250	4,400	400		1700			1700									0	0			85
BAYMAX_PATCH_KIT	GEAR	PURPLE	58	R2	13,950	27,900	258	1,726	280		200				100								0	0			58
BELLWEATHERS_MUG	GEAR	PURPLE	59	R2	21,025	42,050	478	3,011	280				195										0	0			58.5
RASPBEARY_CAKE	GEAR	PURPLE	59	R2	32,000	64,000	1,000	4,070	340		500		125						7				0	0			89.66
CALAMARI	GEAR	PURPLE	60	R2	35,350	70,700	618	2,843	340		999									9			0	0			64.77
SPELL_DIARY	GEAR	PURPLE	61	R3	10,950	21,900	378	1,740	280		600							6					0	0			56.67
IMPRACTICAL_OVEN_MITTS	GEAR	PURPLE	62	R3	10,950	21,900	378	1,740	280		900									9			0	0			65.41
UNBIRTHDAY_HAT	GEAR	PURPLE	63	R3	38,000	76,000	1,250	5,066	400					1500		257							0	0			66.4
LOST_NECKLACE	GEAR	PURPLE	64	R3	38,000	76,000	1,250	5,066	400				175		75					5			0	0			106.34
PINEAPPLE_CRATE	GEAR	PURPLE	65	R3	23,000	46,000	1,610	3,066	400		750											15	0	0			111.69
TRITONS_TRIDENT	GEAR	PURPLE	66	R3	23,000	46,000	1,610	3,066	400		1337					137	137						0	0			108.28
FA_FAMILY_SHEARS	GEAR	PURPLE	67	R3	44,550	89,100	2,259	5,940	420				450										0	0			135
CURSED_COIN	GEAR	PURPLE	68	R3	44,550	89,100	2,259	5,940	420					3555						6			0	0			55.15
BRUCES_BADGES	GEAR	PURPLE	69	R3	51,450	102,900	1,659	6,860	440			150	150										0	0			135
OOZMA_KAPPA_CHEER_KIT	GEAR	PURPLE	70	R3	51,450	102,900	1,659	6,860	440			277	277						15				0	0			330.99
GRAPPLING_HOOK	GEAR	PURPLE	70	R3	46,975	93,950	516	6,263	480			377								17	17		0	0			337.29
BEACH_BOMB	GEAR	PURPLE	70	R3	46,975	93,950	516	6,263	480			202								19			0	0.1			210.51
JAR_OF_SAND	GEAR	PURPLE	73	R3	9,224	18,448	504	2,141	500		700		170										0	0.1			111.27
CARROT_PEN	GEAR	PURPLE	74	R4	46,975	93,950	1,379	6,020	500			100				400							0	0			140
ROCK_PUNCH	GEAR	PURPLE	74	R4	46,975	93,950	1,379	6,020	500			100					400						0	0			140
LEANING_TOWER_OF_CHEEZ_A	GEAR	PURPLE	74	R4	42,940	85,880	588	5,725	500		550		100						12				0	0			129.46
SANDY_CLAWS_LANTERN	GEAR	PURPLE	74	R4	42,940	85,880	588	5,725	500		600	70						7					0	0			111.18
FREDS_RECYCLED_BOXERS	GEAR	PURPLE	74	R4	27,725	55,450	1,679	5,458	500			150								15			0	0			148.09
STABLE_WALKING_CANE	GEAR	PURPLE	74	R4	27,725	55,450	1,679	5,458	500			100						10		10			0	0			163.28
SAFETY_HELMET	GEAR	PURPLE	74	R4	21,900	43,800	756	2,920	500		577		277										0	0			106.18
MASK_OF_THE_CAKE_EATER	GEAR	PURPLE	75	R4	37,000	74,000	1,310	4,933	500			107		750		250							0	0			121.7
KIMMUNICATOR	GEAR	PURPLE	75	R4	43,925	87,850	2,268	5,856	500		1600	160								5			0	0			179.36
STONE_GUARDIAN	GEAR	PURPLE	75	R4	43,925	87,850	2,268	5,856	500		525	225											0	0			156
PILOTS_CAP	GEAR	PURPLE	75	R4	51,500	103,000	2,500	7,721	500		650		150										0.1	0			200.1
DARK_DISGUISE	GEAR	PURPLE	77	R5	75,000	150,000	3,750	7,500	500								1337						0	0			267.4
ROCKET_PACK_PATCH_KIT	GEAR	PURPLE	78	R5	75,000	150,000	3,750	7,500	500		3333					333	333						0	0			266.52
HANKS_HOT_SAUCE	GEAR	PURPLE	76	R5	75,000	150,000	3,750	7,500	500		525	125											0	0			96
BREAKFAST_OF_CHAMPIONS	GEAR	PURPLE	80	R5	75,000	150,000	3,750	7,500	500			404											0	0			242.4
BLACK_MAGIC_CAULDRON	GEAR	PURPLE	79	R5	25,000	50,000	1,250	2,500	100		1500			1000		500							0	0			170
OO_DE_LALLY_ARROWS	GEAR	PURPLE	76	R5	60,000	120,000	3,000	6,000	500		999						999						0	0			239.76
POTENTIAL_CARRIAGE	GEAR	PURPLE	78	R5	60,000	120,000	3,000	6,000	500		3300			2200									0	0			154
SCREAM_CANISTER	GEAR	PURPLE	80	R5	60,000	120,000	3,000	6,000	500		999					999							0	0			239.76
SHRINK_RAY	GEAR	PURPLE	76	R5	25,000	50,000	1,250	2,500	100				200			200							0	0			100
LUCKY_EARS	GEAR	PURPLE	77	R5	25,000	50,000	1,250	2,500	100							1337							0	0			267.4
DEUS_EX_CALIBUR	GEAR	PURPLE	78	R5	25,000	50,000	1,250	2,500	100		300	300				300							0	0			252
THINKING_CAP	GEAR	PURPLE	79	R5	25,000	50,000	1,250	2,500	100			200				200							0	0			160
A_VERY_PINE_HAT	GEAR	PURPLE	81	R6	30,408	101,360	1,267	2,534	75		2500												0	0			100
CUTEING_STAR	GEAR	PURPLE	81	R6	30,408	101,360	1,267	2,534	75			150	150										0	0			135
EXCLUSIVE_CLUB_BADGE	GEAR	PURPLE	81	R6	60,816	202,720	2,534	5,068	175		3500	250	250										0	0			365
UKULELE	GEAR	ORANGE	85	R6	83,280	277,600	3,470	6,940	225			500											0	0			300
WINNIFREDS_SPELLBOOK	GEAR	ORANGE	85	R6	85,416	284,720	3,559	7,118	225				500										0	0			150
JAR_OF_HUNNY	GEAR	ORANGE	84	R6	69,072	230,240	2,878	5,756	200		3000					1000							0	0			320
MYSTERIOUS_JOURNAL	GEAR	ORANGE	84	R6	76,944	256,480	3,206	6,412	200		3000						1000						0	0			320
GUMMIBEARY_JUICE	GEAR	ORANGE	83	R6	69,072	230,240	2,878	5,756	200		8000	800		8000									0	0			880
CLOSE_SHAVE	GEAR	ORANGE	83	R6	59,784	199,280	2,491	4,982	150			500						15		15			0	0			517.65
TRON_BIT	GEAR	PURPLE	83	R6	38,232	127,440	1,593	3,186	100				200			200							0	0			100
BADGE_OF_TRUE_LOVE	GEAR	PURPLE	83	R6	35,472	118,240	1,478	2,956	100				200				200						0	0			100
PIXIE_DUST	GEAR	PURPLE	82	R6	36,336	121,120	1,514	3,028	100			550											0	0			330
LOOT_OF_A_THOUSAND_WORLDS	GEAR	PURPLE	82	R6	36,336	121,120	1,514	3,028	100			150								7			0	0			128.09
DUCKY_MOMO	GEAR	PURPLE	82	R6	62,400	208,000	2,600	5,200	175							250	250						0	0			100
LOVE_BIRDS	GEAR	PURPLE	86	R7	46,080	153,600	1,920	3,840	125				505										0	0			151.5
CROWN_OF_THE_WILD_FRONTIER	GEAR	PURPLE	86	R7	46,080	153,600	1,920	3,840	125							707							0	0			141.4
HANDSOME_PRINCE	GEAR	PURPLE	86	R7	92,160	307,200	3,840	7,680	250				555			777							0	0			321.9
VITAL_INFORMATION	GEAR	ORANGE	86	R7	57,600	192,000	2,400	4,800	150							1200							0	0			240
SALLYS_SPICES	GEAR	ORANGE	88	R7	57,600	192,000	2,400	4,800	150								1200						0	0			240
PC_FLYERS	GEAR	ORANGE	90	R7	57,600	192,000	2,400	4,800	150							900						10	0	0			287.49
DOGS_BREAKFAST	GEAR	ORANGE	87	R7	113,760	379,200	4,740	9,480	325		1000					2000							0	0			440
LIQUID_BREAKFAST	GEAR	ORANGE	89	R7	112,752	375,840	4,698	9,396	325		1000						2000						0	0			440
SWEET_TOOTH	GEAR	ORANGE	90	R7	130,800	436,000	5,450	10,900	375		1000					1000	1000						0	0			440
EMBLEM_OF_BRAVERY	GEAR	PURPLE	88	R7	72,336	241,120	3,014	6,028	200		600	60	60	600								10	0	0			191.49
THE_MAGIC_BRUSH	GEAR	PURPLE	88	R7	105,792	352,640	4,408	8,816	300				200										0	0.15			140.62
SNARFFBLATT	GEAR	PURPLE	87	R7	59,904	199,680	2,496	4,992	150			125	125										0	0			112.5
PIED_SANDPIPER	GEAR	PURPLE	87	R7	107,328	357,760	4,472	8,944	300					500			650						0	0			135
BOAT_SNACK	GEAR	PURPLE	87	R7	74,736	249,120	3,114	6,228	200					500		650							0	0			135
CROQUET_BALL	GEAR	PURPLE	90	R8	60,816	202,720	2,534	5,068	175							1000							0	0			200
CRYSTAL_BELLE	GEAR	PURPLE	91	R8	60,816	202,720	2,534	5,068	175								1000						0	0			200
REALLY_GOOD_BALL	GEAR	PURPLE	92	R8	60,816	202,720	2,534	5,068	175			125											0	0			75
TOKEN_OF_RADITUDE	GEAR	PURPLE	93	R8	70,848	236,160	2,952	5,904	200				200										0	0			60
MERLINS_BAG	GEAR	ORANGE	90	R8	38,016	126,720	1,584	3,168	100		1000												0	0			40
I_FIGHT_FOR_THE_USERS	GEAR	ORANGE	90	R8	38,016	126,720	1,584	3,168	100							2000							0	0			400
CROWN_OF_NY	GEAR	ORANGE	92	R8	38,016	126,720	1,584	3,168	100								2000						0	0			400
PIRATE_HIDEOUT	GEAR	ORANGE	93	R8	38,016	126,720	1,584	3,168	100			200											0	0			120
PEPPER_SHAKER	GEAR	ORANGE	95	R8	38,016	126,720	1,584	3,168	100				200										0	0			60
KING_OF_BALD_MOUNTAIN	GEAR	ORANGE	90	R8	91,992	306,640	3,833	7,666	250		1000												0	0.15			135.56
WHALE_OF_A_TALE	GEAR	ORANGE	90	R8	94,656	315,520	3,944	7,888	275		1000											10	0	0			167.41
DIABLO_PIEDRA	GEAR	ORANGE	91	R8	95,328	317,760	3,972	7,944	275		600									10			0	0			100.45
TRICK_OR_TREAT	GEAR	ORANGE	92	R8	99,984	333,280	4,166	8,332	275		600										10		0	0			100.45
MATHEMATICALLY_DELICIOUS	GEAR	ORANGE	93	R8	103,272	344,240	4,303	8,606	300		1000	125											0	0			115
DRUM_LINE	GEAR	ORANGE	94	R8	105,456	351,520	4,394	8,788	300		1000		125										0	0			77.5
CIRCLE_OF_LIFE	GEAR	PURPLE	90	R8	46,104	153,680	1,921	3,842	125					500		650							0	0			135
BADGE_OF_LEVITATION	GEAR	PURPLE	91	R8	47,712	159,040	1,988	3,976	125					500			650						0	0			135
ITS_ROBOT_TIME	GEAR	PURPLE	92	R8	58,776	195,920	2,449	4,898	150							650	650						0	0			260
TOUGH_PETAL	GEAR	PURPLE	93	R8	66,360	221,200	2,765	5,530	175			125						10					0	0			202.41
BADGE_OF_TOMORROW	GEAR	PURPLE	94	R8	72,792	242,640	3,033	6,066	200				125						10				0	0			164.91
FLIGHT_OF_FANCY	GEAR	PURPLE	95	R9	30,408	101,360	1,267	2,534	75		800												0	0			32
TRUST_IN_ME	GEAR	PURPLE	95	R9	30,408	101,360	1,267	2,534	75			100											0	0			60
CUSTOMER_OF_THE_YEAR	GEAR	PURPLE	97	R9	60,816	202,720	2,534	5,068	175		1000	125											0	0			115
BLANK_CHECK	GEAR	ORANGE	96	R9	38,016	126,720	1,584	3,168	100			125		650									0	0			81.5
DINGLEHOPPER	GEAR	ORANGE	97	R9	38,016	126,720	1,584	3,168	100				125	650									0	0			44
NACO	GEAR	ORANGE	98	R9	38,016	126,720	1,584	3,168	100						75								0	0.15			150.76
LUCKY_EGG	GEAR	ORANGE	95	R9	138,432	461,440	5,768	11,536	400							750	750						0	0.15			413.26
PAY_THROUGH_THE_TEETH	GEAR	ORANGE	97	R9	114,264	380,880	4,761	9,522	325		1000			650								10	0	0			197.52
GONNA_GET_A_LITTLE_WEIRD	GEAR	ORANGE	99	R9	112,368	374,560	4,682	9,364	325			125						10		10			0	0			316.63
LOVE_POTION	GEAR	ORANGE	100	R9	111,504	371,680	4,646	9,292	325				125						10		10		0	0			279.13
MAGICA_SHADOW	GEAR	PURPLE	95	R9	118,392	394,640	4,933	9,866	325					650		750							0	0			156.5
